ID,Country,Size,Industry,Sector,Propensity,Reason1,Reason2,Reason3
C130,USA,Large,Parts Suppliers,Automotive,2,Strong Brand,Undervalued,Market Leader
C131,USA,Large,Broadband,Telecommunications,1,Regulatory Approval,Share Buyback,Patent Portfolio
C132,USA,Micro,Metals & Mining,Materials,1,Low Leverage,Recurring Revenue,Diversified Revenue
C133,USA,Small,Institutions,Education,1,High Growth,Turnaround Plan,Patent Portfolio
C134,USA,Small,Semiconductors,Technology,3,Dividend Growth,Experienced Team,Positive Guidance
C135,USA,Small,Publishing,Media,3,Global Expansion,Recurring Revenue,Strong Management
C136,USA,Mid,AgTech,Agriculture,1,Cost Efficiency,Favorable FX Trends,Low Capex
C137,USA,Micro,Hotels,Hospitality,3,High Growth,Low Customer Churn,Cost Efficiency
C138,USA,Large,Food & Beverage,Consumer,4,Growing TAM,Cost Efficiency,Undervalued
C139,USA,Mid,Tutoring,Education,4,Low Capex,High Growth,Strong Management
C140,USA,Small,Parts Suppliers,Automotive,4,Sector Tailwinds,M&A Potential,Operational Leverage
C141,USA,Micro,Metals & Mining,Materials,4,Regulatory Approval,Operational Leverage,Dividend Growth
C142,USA,Micro,Residential RE,Real Estate,4,Regulatory Approval,Diversified Revenue,Cost Efficiency
C143,USA,Micro,Banking,Finance,1,Strong Management,Cost Efficiency,Recurring Revenue
C144,USA,Micro,Semiconductors,Technology,3,Global Expansion,Positive Guidance,New Product Launch
C145,USA,Mid,Insurance,Finance,2,High Growth,Operational Leverage,Rising Demand
C146,USA,Micro,AgTech,Agriculture,2,Growing TAM,Low Customer Churn,Improving Margins
C147,USA,Mid,Aerospace,Industrials,3,Sector Tailwinds,Patent Portfolio,High Free Cash Flow
C148,USA,Mid,Biotech,Healthcare,3,Cost Efficiency,Low Capex,Sector Tailwinds
C149,USA,Micro,Construction,Industrials,3,Positive Guidance,Sticky Customers,High Growth
C150,USA,Small,EV Manufacturers,Automotive,4,Positive Guidance,Low Competition,Regulatory Approval
C151,USA,Large,Packaging,Materials,4,Positive Guidance,High Free Cash Flow,Technological Edge
C152,USA,Large,Residential RE,Real Estate,3,Dividend Growth,Regulatory Approval,Share Buyback
C153,USA,Small,Farming,Agriculture,1,Dividend Growth,Rising Demand,Growing TAM
C154,USA,Large,Renewables,Energy,2,Cost Efficiency,Technological Edge,Positive Guidance
C155,USA,Mid,Institutions,Education,1,Operational Leverage,Experienced Team,Strong Management
C156,USA,Small,Packaging,Materials,2,Experienced Team,Regulatory Approval,Sector Tailwinds
C157,USA,Large,Food & Beverage,Consumer,4,Share Buyback,Cost Efficiency,M&A Potential
C158,USA,Mid,Tutoring,Education,4,Strong Brand,Growing TAM,Favorable FX Trends
C159,USA,Mid,Airlines,Transportation,4,Low Leverage,Capital Light Model,Share Buyback
C160,USA,Small,Commercial RE,Real Estate,3,Dividend Growth,Experienced Team,Recurring Revenue
C161,USA,Mid,AgTech,Agriculture,2,Strong Brand,Recurring Revenue,High Growth
C162,USA,Large,Tutoring,Education,3,Global Expansion,Market Leader,Dividend Growth
C163,USA,Mid,Chemicals,Materials,3,Patent Portfolio,Operational Leverage,High Growth
C164,USA,Mid,Airlines,Transportation,3,Global Expansion,Sticky Customers,High Growth
C165,USA,Micro,Utilities,Energy,2,Recurring Revenue,Low Customer Churn,Sector Tailwinds
C166,USA,Micro,Renewables,Energy,3,Undervalued,Global Expansion,Improving Margins
C167,USA,Large,Packaging,Materials,2,Experienced Team,Recurring Revenue,Capital Light Model
C168,USA,Small,Banking,Finance,4,High Free Cash Flow,Sticky Customers,Cost Efficiency
C169,USA,Micro,Renewables,Energy,1,Capital Light Model,Regulatory Approval,Low Competition
C170,USA,Large,Aerospace,Industrials,3,Capital Light Model,Global Expansion,Low Competition
C171,USA,Large,Broadband,Telecommunications,1,Cost Efficiency,New Product Launch,Operational Leverage
C172,USA,Small,Retail,Consumer,1,New Product Launch,Sector Tailwinds,Improving Margins
C173,USA,Small,Semiconductors,Technology,3,Rising Demand,Operational Leverage,Low Competition
C174,USA,Mid,Insurance,Finance,3,Dividend Growth,High Growth,Operational Leverage
C175,USA,Mid,Biotech,Healthcare,3,Technological Edge,High Growth,Patent Portfolio
C176,USA,Large,Travel,Hospitality,4,Low Competition,Technological Edge,Operational Leverage
C177,USA,Small,Farming,Agriculture,2,Patent Portfolio,Low Customer Churn,Improving Margins
C178,USA,Mid,Commercial RE,Real Estate,1,High Growth,Growing TAM,Market Leader
C179,USA,Micro,OEMs,Automotive,3,Patent Portfolio,Regulatory Approval,Undervalued
C180,USA,Micro,Renewables,Energy,2,Low Capex,Rising Demand,Experienced Team
C181,USA,Large,Rail,Transportation,3,Undervalued,M&A Potential,Operational Leverage
C182,USA,Small,Renewables,Energy,3,Experienced Team,Global Expansion,Growing TAM
C183,USA,Mid,OEMs,Automotive,1,Growing TAM,Positive Guidance,Strong Management
C184,USA,Mid,Utilities,Energy,2,Global Expansion,Technological Edge,Experienced Team
C185,USA,Small,Wireless Services,Telecommunications,4,Regulatory Approval,M&A Potential,Global Expansion
C186,USA,Mid,Machinery,Industrials,4,Patent Portfolio,Positive Guidance,Experienced Team
C187,USA,Mid,Publishing,Media,1,Operational Leverage,Technological Edge,Share Buyback
C188,USA,Small,EV Manufacturers,Automotive,2,Undervalued,Operational Leverage,Share Buyback
C189,USA,Mid,Pharmaceuticals,Healthcare,1,Improving Margins,Positive Guidance,New Product Launch
C190,USA,Large,Semiconductors,Technology,4,Low Competition,Positive Guidance,Growing TAM
C191,USA,Micro,Utilities,Energy,2,Rising Demand,Low Leverage,Capital Light Model
C192,USA,Micro,Software,Technology,2,High Growth,Sticky Customers,Dividend Growth
C193,USA,Large,Broadcasting,Media,1,Patent Portfolio,Growing TAM,High Free Cash Flow
C194,USA,Large,Apparel,Consumer,3,Low Competition,Recurring Revenue,Diversified Revenue
C195,USA,Large,Restaurants,Hospitality,4,Operational Leverage,Rising Demand,Improving Margins
C196,USA,Large,Broadcasting,Media,4,Positive Guidance,Sticky Customers,Growing TAM
C197,USA,Mid,Institutions,Education,2,Turnaround Plan,Favorable FX Trends,High Free Cash Flow
C198,USA,Small,Semiconductors,Technology,3,Low Competition,Regulatory Approval,Cost Efficiency
C199,USA,Micro,Packaging,Materials,4,Diversified Revenue,Strong Brand,Capital Light Model
C200,USA,Mid,Chemicals,Materials,3,Global Expansion,New Product Launch,Low Capex
C201,USA,Mid,Tutoring,Education,3,Cost Efficiency,Market Leader,Undervalued
C202,USA,Small,Publishing,Media,2,Cost Efficiency,Diversified Revenue,Strong Management
C203,USA,Small,Metals & Mining,Materials,4,High Free Cash Flow,Growing TAM,M&A Potential
C204,USA,Micro,EdTech,Education,2,Diversified Revenue,Sticky Customers,Low Customer Churn
C205,USA,Large,Publishing,Media,3,Sector Tailwinds,Turnaround Plan,Operational Leverage
C206,USA,Mid,Streaming,Media,1,Turnaround Plan,Global Expansion,Technological Edge
C207,USA,Small,Food & Beverage,Consumer,4,Low Competition,Dividend Growth,Experienced Team
C208,USA,Large,Asset Management,Finance,2,Favorable FX Trends,Global Expansion,High Free Cash Flow
C209,USA,Small,Restaurants,Hospitality,1,Strong Brand,Rising Demand,Sector Tailwinds
C210,USA,Large,Tutoring,Education,3,Low Leverage,Experienced Team,Recurring Revenue
C211,USA,Small,Asset Management,Finance,2,Positive Guidance,Strong Brand,Diversified Revenue
C212,USA,Micro,Packaging,Materials,1,Capital Light Model,Turnaround Plan,Sector Tailwinds
C213,USA,Large,Renewables,Energy,4,High Free Cash Flow,Rising Demand,Low Competition
C214,USA,Large,Aerospace,Industrials,4,Operational Leverage,Low Competition,Diversified Revenue
C215,USA,Small,Parts Suppliers,Automotive,1,Turnaround Plan,Undervalued,Favorable FX Trends
C216,USA,Large,Software,Technology,4,Low Leverage,Undervalued,Turnaround Plan
C217,USA,Mid,Chemicals,Materials,3,Sticky Customers,Strong Management,Global Expansion
C218,USA,Large,Broadband,Telecommunications,2,Low Leverage,Rising Demand,Low Customer Churn
C219,USA,Small,EV Manufacturers,Automotive,1,Low Capex,Regulatory Approval,Technological Edge
C220,USA,Large,Packaging,Materials,3,New Product Launch,High Growth,Share Buyback
C221,USA,Small,Aerospace,Industrials,1,Patent Portfolio,Rising Demand,Global Expansion
C222,USA,Large,Streaming,Media,2,Rising Demand,Experienced Team,Market Leader
C223,USA,Small,Rail,Transportation,1,Growing TAM,Share Buyback,Improving Margins
C224,USA,Large,Utilities,Energy,3,Improving Margins,Technological Edge,Sector Tailwinds
C225,USA,Large,Chemicals,Materials,1,Experienced Team,M&A Potential,Low Capex
C226,USA,Micro,Logistics,Transportation,4,Regulatory Approval,Sector Tailwinds,Experienced Team
C227,USA,Mid,Residential RE,Real Estate,1,Diversified Revenue,Dividend Growth,M&A Potential
C228,USA,Large,Insurance,Finance,3,Dividend Growth,Diversified Revenue,New Product Launch
C229,USA,Micro,Restaurants,Hospitality,2,Global Expansion,Cost Efficiency,Dividend Growth
C230,USA,Small,Hotels,Hospitality,4,Regulatory Approval,Low Capex,Strong Management
C231,USA,Mid,Travel,Hospitality,2,New Product Launch,Cost Efficiency,Diversified Revenue
C232,USA,Small,Travel,Hospitality,3,Growing TAM,Dividend Growth,Rising Demand
C233,USA,Large,Tutoring,Education,3,Sticky Customers,Experienced Team,Low Competition
C234,USA,Micro,Chemicals,Materials,4,Growing TAM,Share Buyback,High Free Cash Flow
C235,USA,Mid,Pharmaceuticals,Healthcare,3,Technological Edge,Low Leverage,Cost Efficiency
C236,USA,Small,Broadband,Telecommunications,3,Technological Edge,Cost Efficiency,Share Buyback
C237,USA,Mid,Chemicals,Materials,4,Operational Leverage,Patent Portfolio,Improving Margins
C238,USA,Small,Farming,Agriculture,1,Low Competition,Market Leader,Recurring Revenue
C239,USA,Mid,Streaming,Media,2,Sticky Customers,Low Leverage,High Growth
C240,USA,Micro,Agribusiness,Agriculture,2,Market Leader,Experienced Team,High Growth
C241,USA,Large,AgTech,Agriculture,2,Capital Light Model,Patent Portfolio,Growing TAM
C242,USA,Large,Biotech,Healthcare,4,Favorable FX Trends,Capital Light Model,Low Capex
C243,USA,Small,Aerospace,Industrials,3,Recurring Revenue,Favorable FX Trends,Sticky Customers
C244,USA,Large,Wireless Services,Telecommunications,3,Recurring Revenue,Favorable FX Trends,Sector Tailwinds
C245,USA,Small,Tutoring,Education,3,Cost Efficiency,Sector Tailwinds,Positive Guidance
C246,USA,Micro,EV Manufacturers,Automotive,1,Regulatory Approval,Rising Demand,Sticky Customers
C247,USA,Mid,Food & Beverage,Consumer,4,Turnaround Plan,Patent Portfolio,Cost Efficiency
C248,USA,Mid,Semiconductors,Technology,2,Rising Demand,Experienced Team,Low Leverage
C249,USA,Small,Broadband,Telecommunications,3,Low Capex,Patent Portfolio,Dividend Growth
C250,USA,Mid,Hotels,Hospitality,3,Share Buyback,Regulatory Approval,Global Expansion
C251,USA,Large,Streaming,Media,2,Diversified Revenue,Experienced Team,Technological Edge
C252,USA,Mid,Construction,Industrials,3,Global Expansion,Favorable FX Trends,Positive Guidance
C253,USA,Large,Medical Devices,Healthcare,2,Capital Light Model,Strong Management,Experienced Team
C254,USA,Mid,Software,Technology,1,Cost Efficiency,Dividend Growth,Positive Guidance
C255,USA,Large,Utilities,Energy,1,Dividend Growth,Global Expansion,Regulatory Approval
C256,USA,Large,Construction,Industrials,3,Technological Edge,Diversified Revenue,Low Capex
C257,USA,Small,AgTech,Agriculture,2,New Product Launch,Turnaround Plan,Improving Margins
C258,USA,Large,Restaurants,Hospitality,4,Low Leverage,Sector Tailwinds,Share Buyback
C259,USA,Mid,Construction,Industrials,1,Low Customer Churn,Experienced Team,Positive Guidance
C260,USA,Micro,Publishing,Media,2,Technological Edge,Capital Light Model,Global Expansion
C261,USA,Large,Residential RE,Real Estate,3,Sector Tailwinds,Strong Brand,Global Expansion
C262,USA,Mid,Agribusiness,Agriculture,1,Positive Guidance,Improving Margins,Rising Demand
C263,USA,Mid,Parts Suppliers,Automotive,3,Dividend Growth,Share Buyback,Technological Edge
C264,USA,Micro,Food & Beverage,Consumer,1,Positive Guidance,M&A Potential,New Product Launch
C265,USA,Large,Renewables,Energy,3,Favorable FX Trends,Technological Edge,Recurring Revenue
C266,USA,Micro,Banking,Finance,1,Regulatory Approval,High Free Cash Flow,Undervalued
C267,USA,Mid,Airlines,Transportation,2,Sticky Customers,High Growth,Turnaround Plan
C268,USA,Large,Agribusiness,Agriculture,3,Positive Guidance,Undervalued,Diversified Revenue
C269,USA,Large,Parts Suppliers,Automotive,4,Low Leverage,New Product Launch,Diversified Revenue
C270,USA,Micro,Software,Technology,4,Strong Brand,Low Capex,Low Competition
C271,USA,Small,Residential RE,Real Estate,2,Positive Guidance,Low Capex,Dividend Growth
C272,USA,Large,Machinery,Industrials,2,Diversified Revenue,Undervalued,Favorable FX Trends
C273,USA,Mid,Chemicals,Materials,1,Market Leader,High Free Cash Flow,Global Expansion
C274,USA,Mid,Retail,Consumer,1,Global Expansion,Rising Demand,Patent Portfolio
C275,USA,Mid,Publishing,Media,1,High Free Cash Flow,Strong Brand,Low Customer Churn
C276,USA,Large,Food & Beverage,Consumer,2,Low Customer Churn,Technological Edge,Turnaround Plan
C277,USA,Large,Medical Devices,Healthcare,3,Undervalued,Experienced Team,Favorable FX Trends
C278,USA,Large,Wireless Services,Telecommunications,2,Cost Efficiency,M&A Potential,Technological Edge
C279,USA,Micro,Utilities,Energy,1,Operational Leverage,New Product Launch,Diversified Revenue
C280,USA,Mid,Commercial RE,Real Estate,1,Share Buyback,Experienced Team,Improving Margins
C281,USA,Micro,Pharmaceuticals,Healthcare,1,Capital Light Model,Market Leader,Sticky Customers
C282,USA,Micro,Broadband,Telecommunications,2,Recurring Revenue,Dividend Growth,High Growth
C283,USA,Large,Machinery,Industrials,4,Improving Margins,New Product Launch,Low Customer Churn
C284,USA,Micro,Aerospace,Industrials,2,M&A Potential,Improving Margins,Undervalued
C285,USA,Mid,Insurance,Finance,2,Turnaround Plan,Share Buyback,Strong Brand
C286,USA,Mid,Utilities,Energy,1,Undervalued,Regulatory Approval,Positive Guidance
C287,USA,Mid,Renewables,Energy,2,Growing TAM,Low Leverage,Sticky Customers
C288,USA,Small,Aerospace,Industrials,2,Dividend Growth,Strong Brand,Cost Efficiency
C289,USA,Mid,Airlines,Transportation,2,High Growth,M&A Potential,Rising Demand
C290,USA,Micro,Packaging,Materials,1,Share Buyback,Low Capex,Experienced Team
C291,USA,Mid,Commercial RE,Real Estate,3,High Growth,Dividend Growth,Global Expansion
C292,USA,Small,Broadcasting,Media,1,Low Leverage,Diversified Revenue,Sector Tailwinds
C293,USA,Large,Farming,Agriculture,3,New Product Launch,Global Expansion,Patent Portfolio
C294,USA,Large,Residential RE,Real Estate,1,Regulatory Approval,Positive Guidance,Strong Brand
C295,USA,Micro,Rail,Transportation,2,Capital Light Model,Improving Margins,Sector Tailwinds
C296,USA,Large,Oil & Gas,Energy,4,Low Capex,Patent Portfolio,High Growth
C297,USA,Micro,Oil & Gas,Energy,4,New Product Launch,Patent Portfolio,M&A Potential
C298,USA,Micro,Logistics,Transportation,3,High Free Cash Flow,Strong Brand,Operational Leverage
C299,USA,Large,Oil & Gas,Energy,1,Dividend Growth,Low Competition,Growing TAM
C300,USA,Large,Insurance,Finance,3,New Product Launch,Growing TAM,Improving Margins
C301,USA,Mid,Wireless Services,Telecommunications,2,Diversified Revenue,Dividend Growth,Positive Guidance
C302,USA,Mid,AgTech,Agriculture,1,Undervalued,Growing TAM,Recurring Revenue
C303,USA,Large,Oil & Gas,Energy,2,Positive Guidance,Capital Light Model,Low Competition
C304,USA,Small,Agribusiness,Agriculture,3,Favorable FX Trends,Strong Management,Strong Brand
C305,USA,Micro,Rail,Transportation,2,Growing TAM,Sector Tailwinds,Rising Demand
C306,USA,Large,Biotech,Healthcare,4,M&A Potential,Low Leverage,Improving Margins
C307,USA,Small,Hotels,Hospitality,3,Capital Light Model,Technological Edge,Diversified Revenue
C308,USA,Micro,Institutions,Education,4,Strong Brand,Diversified Revenue,Low Customer Churn
