ID,Size,Industry,Country,Sector,Propensity,Reason1,Reason2,Reason3
C121,Mid,Insurance,USA,Finance,1,High Growth,Operational Leverage,Rising Demand
C122,Large,Broadband,USA,Telecommunications,4,Growing TAM,Low Customer Churn,Improving Margins
C123,Mid,Food & Beverage,JPN,Consumer,3,Sector Tailwinds,Patent Portfolio,High Free Cash Flow
C124,Large,Publishing,ITA,Media,1,Cost Efficiency,Low Capex,Sector Tailwinds
C125,Micro,Packaging,ITA,Materials,1,Positive Guidance,Sticky Customers,High Growth
C126,Small,Tutoring,USA,Education,2,Positive Guidance,Low Competition,Regulatory Approval
C127,Small,Oil & Gas,JPN,Energy,3,Positive Guidance,High Free Cash Flow,Technological Edge
C128,Large,Hardware,FRA,Technology,1,Dividend Growth,Regulatory Approval,Share Buyback
C129,Mid,Streaming,JPN,Media,2,Dividend Growth,Rising Demand,Growing TAM
C130,Large,Parts Suppliers,FRA,Automotive,1,Cost Efficiency,Technological Edge,Positive Guidance
C131,Large,Broadband,USA,Telecommunications,2,Operational Leverage,Experienced Team,Strong Management
C132,Micro,Metals & Mining,USA,Materials,3,Experienced Team,Regulatory Approval,Sector Tailwinds
C133,Small,Institutions,USA,Education,2,Share Buyback,Cost Efficiency,M&A Potential
C134,Small,Semiconductors,JPN,Technology,2,Strong Brand,Growing TAM,Favorable FX Trends
C135,Small,Publishing,JPN,Media,3,Low Leverage,Capital Light Model,Share Buyback
C136,Mid,AgTech,USA,Agriculture,4,Dividend Growth,Experienced Team,Recurring Revenue
C137,Micro,Hotels,JPN,Hospitality,2,Strong Brand,Recurring Revenue,High Growth
C138,Large,Food & Beverage,ITA,Consumer,4,Global Expansion,Market Leader,Dividend Growth
C139,Mid,Tutoring,ITA,Education,2,Patent Portfolio,Operational Leverage,High Growth
C140,Small,Parts Suppliers,ITA,Automotive,4,Global Expansion,Sticky Customers,High Growth
C141,Micro,Metals & Mining,ITA,Materials,1,Recurring Revenue,Low Customer Churn,Sector Tailwinds
C142,Micro,Residential RE,ITA,Real Estate,2,Undervalued,Global Expansion,Improving Margins
C143,Micro,Banking,USA,Finance,1,Experienced Team,Recurring Revenue,Capital Light Model
C144,Micro,Semiconductors,JPN,Technology,3,High Free Cash Flow,Sticky Customers,Cost Efficiency
C145,Mid,Insurance,FRA,Finance,2,Capital Light Model,Regulatory Approval,Low Competition
C146,Micro,AgTech,FRA,Agriculture,1,Capital Light Model,Global Expansion,Low Competition
C147,Mid,Aerospace,JPN,Industrials,2,Cost Efficiency,New Product Launch,Operational Leverage
C148,Mid,Biotech,JPN,Healthcare,1,New Product Launch,Sector Tailwinds,Improving Margins
C149,Micro,Construction,JPN,Industrials,4,Rising Demand,Operational Leverage,Low Competition
C150,Small,EV Manufacturers,ITA,Automotive,1,Dividend Growth,High Growth,Operational Leverage
C151,Large,Packaging,ITA,Materials,4,Technological Edge,High Growth,Patent Portfolio
C152,Large,Residential RE,JPN,Real Estate,3,Low Competition,Technological Edge,Operational Leverage
C153,Small,Farming,USA,Agriculture,1,Patent Portfolio,Low Customer Churn,Improving Margins
C154,Large,Renewables,FRA,Energy,1,High Growth,Growing TAM,Market Leader
C155,Mid,Institutions,USA,Education,2,Patent Portfolio,Regulatory Approval,Undervalued
C156,Small,Packaging,FRA,Materials,1,Low Capex,Rising Demand,Experienced Team
C157,Large,Food & Beverage,ITA,Consumer,2,Undervalued,M&A Potential,Operational Leverage
C158,Mid,Tutoring,ITA,Education,2,Experienced Team,Global Expansion,Growing TAM
C159,Mid,Airlines,ITA,Transportation,4,Growing TAM,Positive Guidance,Strong Management
C160,Small,Commercial RE,JPN,Real Estate,1,Global Expansion,Technological Edge,Experienced Team
C161,Mid,AgTech,FRA,Agriculture,3,Regulatory Approval,M&A Potential,Global Expansion
C162,Large,Tutoring,JPN,Education,4,Patent Portfolio,Positive Guidance,Experienced Team
C163,Mid,Chemicals,JPN,Materials,3,Operational Leverage,Technological Edge,Share Buyback
C164,Mid,Airlines,JPN,Transportation,2,Undervalued,Operational Leverage,Share Buyback
C165,Micro,Utilities,FRA,Energy,2,Improving Margins,Positive Guidance,New Product Launch
C166,Micro,Renewables,JPN,Energy,1,Low Competition,Positive Guidance,Growing TAM
C167,Large,Packaging,FRA,Materials,3,Rising Demand,Low Leverage,Capital Light Model
C168,Small,Banking,ITA,Finance,3,High Growth,Sticky Customers,Dividend Growth
C169,Micro,Renewables,USA,Energy,3,Patent Portfolio,Growing TAM,High Free Cash Flow
C170,Large,Aerospace,JPN,Industrials,4,Low Competition,Recurring Revenue,Diversified Revenue
C171,Large,Broadband,USA,Telecommunications,4,Operational Leverage,Rising Demand,Improving Margins
C172,Small,Retail,USA,Consumer,4,Positive Guidance,Sticky Customers,Growing TAM
C173,Small,Semiconductors,JPN,Technology,2,Turnaround Plan,Favorable FX Trends,High Free Cash Flow
C174,Mid,Insurance,JPN,Finance,4,Low Competition,Regulatory Approval,Cost Efficiency
C175,Mid,Biotech,JPN,Healthcare,4,Diversified Revenue,Strong Brand,Capital Light Model
C176,Large,Travel,ITA,Hospitality,2,Global Expansion,New Product Launch,Low Capex
C177,Small,Farming,FRA,Agriculture,1,Cost Efficiency,Market Leader,Undervalued
C178,Mid,Commercial RE,USA,Real Estate,3,Cost Efficiency,Diversified Revenue,Strong Management
C179,Micro,OEMs,JPN,Automotive,4,High Free Cash Flow,Growing TAM,M&A Potential
C180,Micro,Renewables,FRA,Energy,1,Diversified Revenue,Sticky Customers,Low Customer Churn
C181,Large,Rail,JPN,Transportation,3,Sector Tailwinds,Turnaround Plan,Operational Leverage
C182,Small,Renewables,JPN,Energy,4,Turnaround Plan,Global Expansion,Technological Edge
C183,Mid,OEMs,USA,Automotive,2,Low Competition,Dividend Growth,Experienced Team
C184,Mid,Utilities,FRA,Energy,2,Favorable FX Trends,Global Expansion,High Free Cash Flow
C185,Small,Wireless Services,ITA,Telecommunications,4,Strong Brand,Rising Demand,Sector Tailwinds
C186,Mid,Machinery,ITA,Industrials,3,Low Leverage,Experienced Team,Recurring Revenue
C187,Mid,Publishing,USA,Media,2,Positive Guidance,Strong Brand,Diversified Revenue
C188,Small,EV Manufacturers,FRA,Automotive,2,Capital Light Model,Turnaround Plan,Sector Tailwinds
C189,Mid,Pharmaceuticals,USA,Healthcare,2,High Free Cash Flow,Rising Demand,Low Competition
C190,Large,Semiconductors,ITA,Technology,3,Operational Leverage,Low Competition,Diversified Revenue
C191,Micro,Utilities,FRA,Energy,3,Turnaround Plan,Undervalued,Favorable FX Trends
C192,Micro,Software,FRA,Technology,2,Low Leverage,Undervalued,Turnaround Plan
C193,Large,Broadcasting,USA,Media,2,Sticky Customers,Strong Management,Global Expansion
C194,Large,Apparel,JPN,Consumer,2,Low Leverage,Rising Demand,Low Customer Churn
C195,Large,Restaurants,ITA,Hospitality,4,Low Capex,Regulatory Approval,Technological Edge
C196,Large,Broadcasting,ITA,Media,1,New Product Launch,High Growth,Share Buyback
C197,Mid,Institutions,FRA,Education,1,Patent Portfolio,Rising Demand,Global Expansion
C198,Small,Semiconductors,JPN,Technology,1,Rising Demand,Experienced Team,Market Leader
C199,Micro,Packaging,ITA,Materials,3,Growing TAM,Share Buyback,Improving Margins
C200,Mid,Chemicals,JPN,Materials,4,Improving Margins,Technological Edge,Sector Tailwinds
C201,Mid,Tutoring,JPN,Education,3,Experienced Team,M&A Potential,Low Capex
C202,Small,Publishing,FRA,Media,4,Regulatory Approval,Sector Tailwinds,Experienced Team
C203,Small,Metals & Mining,ITA,Materials,2,Diversified Revenue,Dividend Growth,M&A Potential
C204,Micro,EdTech,FRA,Education,1,Dividend Growth,Diversified Revenue,New Product Launch
C205,Large,Publishing,JPN,Media,4,Global Expansion,Cost Efficiency,Dividend Growth
C206,Mid,Streaming,USA,Media,1,Regulatory Approval,Low Capex,Strong Management
C207,Small,Food & Beverage,ITA,Consumer,3,New Product Launch,Cost Efficiency,Diversified Revenue
C208,Large,Asset Management,FRA,Finance,3,Growing TAM,Dividend Growth,Rising Demand
C209,Small,Restaurants,USA,Hospitality,2,Sticky Customers,Experienced Team,Low Competition
C210,Large,Tutoring,JPN,Education,4,Growing TAM,Share Buyback,High Free Cash Flow
C211,Small,Asset Management,FRA,Finance,2,Technological Edge,Low Leverage,Cost Efficiency
C212,Micro,Packaging,USA,Materials,2,Technological Edge,Cost Efficiency,Share Buyback
C213,Large,Renewables,ITA,Energy,2,Operational Leverage,Patent Portfolio,Improving Margins
C214,Large,Aerospace,ITA,Industrials,4,Low Competition,Market Leader,Recurring Revenue
C215,Small,Parts Suppliers,USA,Automotive,2,Sticky Customers,Low Leverage,High Growth
C216,Large,Software,ITA,Technology,2,Market Leader,Experienced Team,High Growth
C217,Mid,Chemicals,JPN,Materials,2,Capital Light Model,Patent Portfolio,Growing TAM
C218,Large,Broadband,FRA,Telecommunications,2,Favorable FX Trends,Capital Light Model,Low Capex
C219,Small,EV Manufacturers,USA,Automotive,2,Recurring Revenue,Favorable FX Trends,Sticky Customers
C220,Large,Packaging,JPN,Materials,1,Recurring Revenue,Favorable FX Trends,Sector Tailwinds
C221,Small,Aerospace,USA,Industrials,2,Cost Efficiency,Sector Tailwinds,Positive Guidance
C222,Large,Streaming,FRA,Media,2,Regulatory Approval,Rising Demand,Sticky Customers
C223,Small,Rail,USA,Transportation,1,Turnaround Plan,Patent Portfolio,Cost Efficiency
C224,Large,Utilities,JPN,Energy,1,Rising Demand,Experienced Team,Low Leverage
C225,Large,Chemicals,USA,Materials,3,Low Capex,Patent Portfolio,Dividend Growth
C226,Micro,Logistics,ITA,Transportation,4,Share Buyback,Regulatory Approval,Global Expansion
C227,Mid,Residential RE,USA,Real Estate,2,Diversified Revenue,Experienced Team,Technological Edge
C228,Large,Insurance,JPN,Finance,2,Global Expansion,Favorable FX Trends,Positive Guidance
C229,Micro,Restaurants,FRA,Hospitality,4,Capital Light Model,Strong Management,Experienced Team
C230,Small,Hotels,ITA,Hospitality,4,Cost Efficiency,Dividend Growth,Positive Guidance
C231,Mid,Travel,FRA,Hospitality,2,Dividend Growth,Global Expansion,Regulatory Approval
C232,Small,Travel,JPN,Hospitality,1,Technological Edge,Diversified Revenue,Low Capex
C233,Large,Tutoring,JPN,Education,4,New Product Launch,Turnaround Plan,Improving Margins
C234,Micro,Chemicals,ITA,Materials,4,Low Leverage,Sector Tailwinds,Share Buyback
C235,Mid,Pharmaceuticals,JPN,Healthcare,2,Low Customer Churn,Experienced Team,Positive Guidance
C236,Small,Broadband,JPN,Telecommunications,3,Technological Edge,Capital Light Model,Global Expansion
C237,Mid,Chemicals,ITA,Materials,3,Sector Tailwinds,Strong Brand,Global Expansion
C238,Small,Farming,USA,Agriculture,1,Positive Guidance,Improving Margins,Rising Demand
C239,Mid,Streaming,FRA,Media,1,Dividend Growth,Share Buyback,Technological Edge
C240,Micro,Agribusiness,FRA,Agriculture,1,Positive Guidance,M&A Potential,New Product Launch
C241,Large,AgTech,FRA,Agriculture,1,Favorable FX Trends,Technological Edge,Recurring Revenue
C242,Large,Biotech,ITA,Healthcare,1,Regulatory Approval,High Free Cash Flow,Undervalued
C243,Small,Aerospace,JPN,Industrials,4,Sticky Customers,High Growth,Turnaround Plan
C244,Large,Wireless Services,JPN,Telecommunications,1,Positive Guidance,Undervalued,Diversified Revenue
C245,Small,Tutoring,JPN,Education,3,Low Leverage,New Product Launch,Diversified Revenue
C246,Micro,EV Manufacturers,USA,Automotive,4,Strong Brand,Low Capex,Low Competition
C247,Mid,Food & Beverage,ITA,Consumer,3,Positive Guidance,Low Capex,Dividend Growth
C248,Mid,Semiconductors,FRA,Technology,1,Diversified Revenue,Undervalued,Favorable FX Trends
C249,Small,Broadband,JPN,Telecommunications,4,Market Leader,High Free Cash Flow,Global Expansion
C250,Mid,Hotels,JPN,Hospitality,4,Global Expansion,Rising Demand,Patent Portfolio
C251,Large,Streaming,FRA,Media,1,High Free Cash Flow,Strong Brand,Low Customer Churn
C252,Mid,Construction,JPN,Industrials,4,Low Customer Churn,Technological Edge,Turnaround Plan
C253,Large,Medical Devices,FRA,Healthcare,2,Undervalued,Experienced Team,Favorable FX Trends
C254,Mid,Software,USA,Technology,1,Cost Efficiency,M&A Potential,Technological Edge
C255,Large,Utilities,USA,Energy,3,Operational Leverage,New Product Launch,Diversified Revenue
C256,Large,Construction,JPN,Industrials,4,Share Buyback,Experienced Team,Improving Margins
C257,Small,AgTech,FRA,Agriculture,3,Capital Light Model,Market Leader,Sticky Customers
C258,Large,Restaurants,ITA,Hospitality,3,Recurring Revenue,Dividend Growth,High Growth
C259,Mid,Construction,USA,Industrials,4,Improving Margins,New Product Launch,Low Customer Churn
C260,Micro,Publishing,FRA,Media,3,M&A Potential,Improving Margins,Undervalued
C261,Large,Residential RE,JPN,Real Estate,4,Turnaround Plan,Share Buyback,Strong Brand
C262,Mid,Agribusiness,USA,Agriculture,4,Undervalued,Regulatory Approval,Positive Guidance
C263,Mid,Parts Suppliers,JPN,Automotive,1,Growing TAM,Low Leverage,Sticky Customers
C264,Micro,Food & Beverage,USA,Consumer,2,Dividend Growth,Strong Brand,Cost Efficiency
C265,Large,Renewables,JPN,Energy,1,High Growth,M&A Potential,Rising Demand
C266,Micro,Banking,USA,Finance,2,Share Buyback,Low Capex,Experienced Team
C267,Mid,Airlines,FRA,Transportation,2,High Growth,Dividend Growth,Global Expansion
C268,Large,Agribusiness,JPN,Agriculture,4,Low Leverage,Diversified Revenue,Sector Tailwinds
C269,Large,Parts Suppliers,ITA,Automotive,3,New Product Launch,Global Expansion,Patent Portfolio
C270,Micro,Software,ITA,Technology,2,Regulatory Approval,Positive Guidance,Strong Brand
C271,Small,Residential RE,FRA,Real Estate,1,Capital Light Model,Improving Margins,Sector Tailwinds
C272,Large,Machinery,FRA,Industrials,1,Low Capex,Patent Portfolio,High Growth
C273,Mid,Chemicals,USA,Materials,3,New Product Launch,Patent Portfolio,M&A Potential
C274,Mid,Retail,USA,Consumer,3,High Free Cash Flow,Strong Brand,Operational Leverage
C275,Mid,Publishing,USA,Media,4,Dividend Growth,Low Competition,Growing TAM
C276,Large,Food & Beverage,FRA,Consumer,1,New Product Launch,Growing TAM,Improving Margins
C277,Large,Medical Devices,JPN,Healthcare,1,Diversified Revenue,Dividend Growth,Positive Guidance
C278,Large,Wireless Services,FRA,Telecommunications,4,Undervalued,Growing TAM,Recurring Revenue
C279,Micro,Utilities,USA,Energy,2,Positive Guidance,Capital Light Model,Low Competition
C280,Mid,Commercial RE,USA,Real Estate,4,Favorable FX Trends,Strong Management,Strong Brand
C281,Micro,Pharmaceuticals,USA,Healthcare,4,Growing TAM,Sector Tailwinds,Rising Demand
C282,Micro,Broadband,FRA,Telecommunications,3,M&A Potential,Low Leverage,Improving Margins
C283,Large,Machinery,ITA,Industrials,2,Capital Light Model,Technological Edge,Diversified Revenue
C284,Micro,Aerospace,FRA,Industrials,4,Strong Brand,Diversified Revenue,Low Customer Churn
C285,Mid,Insurance,FRA,Finance,3,Low Leverage,Low Customer Churn,M&A Potential
C286,Mid,Utilities,USA,Energy,1,Cost Efficiency,Growing TAM,Share Buyback
C287,Mid,Renewables,FRA,Energy,1,Operational Leverage,Dividend Growth,Improving Margins
C288,Small,Aerospace,FRA,Industrials,4,Cost Efficiency,Positive Guidance,High Growth
C289,Mid,Airlines,FRA,Transportation,4,Positive Guidance,Global Expansion,Sticky Customers
C290,Micro,Packaging,USA,Materials,4,New Product Launch,Patent Portfolio,Growing TAM
C291,Mid,Commercial RE,JPN,Real Estate,4,Sticky Customers,High Growth,Market Leader
C292,Small,Broadcasting,USA,Media,2,Improving Margins,Low Capex,High Free Cash Flow
C293,Large,Farming,JPN,Agriculture,2,Patent Portfolio,High Growth,Recurring Revenue
C294,Large,Residential RE,USA,Real Estate,1,High Growth,Favorable FX Trends,Low Customer Churn
C295,Micro,Rail,FRA,Transportation,1,New Product Launch,Technological Edge,Low Customer Churn
C296,Large,Oil & Gas,ITA,Energy,3,Recurring Revenue,Undervalued,Regulatory Approval
C297,Micro,Oil & Gas,ITA,Energy,1,Recurring Revenue,Rising Demand,Favorable FX Trends
C298,Micro,Logistics,JPN,Transportation,3,Sticky Customers,Dividend Growth,Low Leverage
C299,Large,Oil & Gas,USA,Energy,2,Improving Margins,Global Expansion,Low Leverage
C300,Large,Insurance,JPN,Finance,4,Turnaround Plan,M&A Potential,High Growth
C301,Mid,Wireless Services,FRA,Telecommunications,1,Market Leader,Capital Light Model,Recurring Revenue
C302,Mid,AgTech,USA,Agriculture,1,New Product Launch,Undervalued,Market Leader
C303,Large,Oil & Gas,FRA,Energy,2,Growing TAM,Undervalued,Low Competition
C304,Small,Agribusiness,JPN,Agriculture,4,Market Leader,Turnaround Plan,High Growth
